pathway	E1	E2	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S11	S12	S13	S14	S2	S3	S4	S5	S6	S7	S8	S9
GALACTARDEG-PWY	381.7818348105976	35.12064826103896	129.96731141712849	142.53291660102295	24.437965795258393	0.0	0.0	21.871489911868974	0.0	123.16146317987423	5.189068843333835	15.589956069286503	307.09349080336455	0.0	0.0	33.79585465127487	0.0	119.35127468771233	0.0	247.16151391835146	68.93614519086361	112.89940970846867	32.442568617544424	44.02401844643773	11.93175550267457	173.10752691179755	0.0	82.95970638160186	608.2836206591137	38.018624755430935	161.15773548770184	264.7721538608821	29.187231853971376
GALACTITOLCAT-PWY	3969.8694060401017	336.3023121755736	304.1117333025848	287.8467089277915	315.71419301710785	263.3898940956536	478.15688750773853	220.8554265380014	1672.4482536885575	855.9552267825361	498.61820110844997	919.0396641683363	171.57230698447387	2037.1986149915072	186.09389200610545	362.7542181039401	699.7215950813355	579.6562908429553	131.15361299095537	913.4043967753903	475.95256323067247	1016.7678066110166	212.83400154916558	330.05497866743184	397.15421139126437	612.4473931263907	21.408773645345114	432.1456038298982	652.1983425045928	2350.024957742405	191.54374853618688	181.3670317844231	308.8250851119496
GALLATE-DEGRADATION-I-PWY	41.122960625111354	0.0	2.5849632352941176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.842105263157896	0.0	3.214443788728239	0.0	10.020390424585482	2.38	8.708785046728972	5.119864864864865	2.75	0.0	9.69832354829775	0.0	7.619047619047619	55.903092705454824	9.006756756756756	25.133783247320366	6.545454545454545	4.38
GALLATE-DEGRADATION-II-PWY	69.35059745034569	0.0	4.861607605877268	0.0	0.0	0.0	0.0	6.857142857142858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.943936707134088	0.0	18.751836792624903	2.7199999999999998	15.151869918699187	5.995964391691395	3.142857142857143	0.0	17.05709843224032	0.0	12.307692307692307	76.06662791088732	11.641921397379912	8.064791265253694	11.076923076923075	5.005714285714285
GLCMANNANAUT-PWY	6974.648133238424	9713.153314025856	2471.986611167833	2204.1299992307536	4125.989593613828	8655.277550513974	6047.498075776492	4773.651887095992	2193.390783470581	5642.609633467294	3822.478950884585	6869.195302816188	6636.859945272565	5715.7506714061155	3755.4378675517346	2594.7805116991435	2057.0038795981172	4552.867023805239	5103.451911006822	3769.0280985921513	2421.9718789772464	6044.708264176328	3024.062856419913	1818.4501580887286	9729.575845937066	1854.2973075714015	584.796898011129	2687.1483532089815	2261.508389752547	9502.131985942451	2206.511890637468	945.8844765988837	2035.6581183750234
GLUCARDEG-PWY	277.7008283458328	0.0	36.422116392540936	0.0	0.0	0.0	0.0	43.48894490815287	0.0	0.0	0.0	0.0	307.09349080336455	0.0	0.0	0.0	0.0	71.51706783274818	0.0	35.90514401143216	42.646943182349176	20.068685746036106	17.11736886479346	10.964618986895427	23.728565668988008	33.70544333934325	0.0	19.940464677267148	578.0224621995185	32.201076276607644	52.97396160871542	31.983264773332763	17.402247017281326
GLUCARGALACTSUPER-PWY	381.7818348105976	35.12064826103896	129.96731141712849	142.53291660102295	24.437965795258393	0.0	0.0	21.871489911868974	0.0	123.16146317987423	5.189068843333835	15.589956069286503	307.09349080336455	0.0	0.0	33.79585465127487	0.0	119.35127468771233	0.0	247.16151391835146	68.93614519086361	112.89940970846867	32.442568617544424	44.02401844643773	11.93175550267457	173.10752691179755	0.0	82.95970638160186	608.2836206591137	38.018624755430935	161.15773548770184	264.7721538608821	29.187231853971376
GLUCONEO-PWY	7968.228151480039	4203.68494678562	4929.842387292221	5582.057452113664	6298.654457745113	7881.626827567297	8526.602893594138	3419.772181024568	7398.738163558417	7707.806769838466	3000.860976176695	10758.027147965746	6078.708754465585	8462.138231408304	4514.125768458451	4059.6141645953585	2843.944363416995	6032.613966917573	4062.657059650578	7653.432206257809	4746.016421982178	5478.337009964203	6277.660244774805	4971.514642838729	5692.638518610298	6791.775232310905	2480.0933718699675	7011.4034320510345	6812.628952126222	5659.957196238384	5937.189933918946	4344.916877201184	3718.8256002900994
GLUCOSE1PMETAB-PWY	11737.89	10862.13	6038.36	6539.51	8213.74	18537.23	21587.19	12072.3	11316.52	17923.56	8802.96	25041.2	16937.1	18706.28	13420.450000000003	5933.04	5480.16	12011.11	9219.63	9081.73	5910.56	8746.31	7777.640000000001	5770.8	12121.85	7860.66	2537.33	8310.460000000001	8288.599999999999	11824.74	6953.619999999999	4805.0	4650.91
GLUDEG-I-PWY	985.0133600591881	211.52072876029462	166.90025193482472	306.7140295157907	250.3157307043618	530.8534701963839	347.0358371688674	374.5355943271802	37.48001054416429	1110.6501437289671	159.9140744394608	253.56221598595346	860.3922523147492	378.6383097886473	110.4165946119416	202.29162535754756	560.8753501591228	704.0415061643425	158.33932979439288	304.5698107678655	261.1548318522224	224.54839327566546	145.19089504124221	199.1281080298033	521.0169718406281	431.01122938489357	11.771855895034042	209.16777009844284	725.5416598198499	212.70120534146747	113.09809931734307	297.2916486891715	203.66784988989218
GLUTORN-PWY	5392.424373462786	852.2800789115154	2984.0500759033434	2756.477191246034	3148.4471302305155	16745.853050649494	18484.987810971706	9314.369471143908	10333.65498695247	14669.361443365022	5970.560390632562	20171.64142951138	9832.288635781135	14892.913128042243	10778.45457831746	3826.587307217429	4386.1555198534725	9484.292750694896	5416.418579210972	5551.792703496125	3165.9462430657654	2821.5513615095215	4717.745160782456	3994.40311706829	2714.860942180439	6661.635619214849	2205.000328595087	5942.318807362957	5584.776817609136	1995.3889514940415	4909.162578393539	3845.088041762861	2447.060950077531
